BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Tupinambis teguixin,M,Teiidae,3,3,80.31357018859057,NA,319.66249508752605,NA,NA,NA,NA,Neotropic,Terrestrial,Omnivorous,Omnivorous,NA,NA
Typhlosaurus caecus,unknown,Scincidae,32,32,3.2928427124746187,3.6816295090390225,177.38465385211026,6.841421356237309,3.485459415460184,2.0277297077300918,4.80611805537841,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Typhlosaurus lomiae,unknown,Scincidae,9,9,0.49,0.9833333333333334,109.82666666666667,5.616666666666666,2.63,2.1533333333333333,4.156666666666667,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Typhlosaurus vermis,unknown,Scincidae,6,6,1.0320620726159657,3.124990636605611,215.15861946782985,7.1641658075592245,3.3310518674716296,2.804721935853075,5.751093529798923,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Uromastyx aegyptia,M,Agamidae,7,7,102.3813758345234,488.81376048482537,240.21430760887992,34.78515361183997,36.19045509719036,22.675988468905327,40.078879005159344,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,100
Urosaurus ornatus,M,Phrynosomatidae,12,12,5.29,NA,50.04,11.54,9.59,6.319999999999999,NA,Neartic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Uta stansburiana,unknown,Phrynosomatidae,3,3,3.09,NA,47.57,NA,9.34,6.36,NA,Neartic,Terrestrial/Saxicolous,Carnivorous,NA,NA,NA
Varanus exanthematicus,M,Varanidae,7,7,94.54725393319377,NA,247.11477385196497,49.76753479949291,34.74035093213833,25.101215550647126,NA,Afrotropic,Arboreal/Terrestrial,Carnivorous,Carnivorous,NA,NA
Xenosaurus grandis,M,Xenosauridae,11,11,20.48373808423815,NA,112.04435019777901,27.14950631942041,22.12447860510753,13.354876579855103,29.380962235372415,Neotropic,Saxicolous,Carnivorous,Carnivorous,NA,NA
Xenosaurus newmanorum,M,Xenosauridae,7,7,22.37943206221881,NA,108.73692221954657,28.668522801544853,22.00150695989858,13.582134420566645,30.75033605141661,Neotropic,Saxicolous,Omnivorous,NA,NA,NA
Xenosaurus platyceps,M,Xenosauridae,10,10,13.808753059833414,NA,94.590920416938,23.693968005571563,20.517380109861325,11.021429197994685,25.879682604568906,Neotropic,Saxicolous,Carnivorous,NA,NA,NA
